"Feature","Files Changed","Type","Status","Notes"
"Player rotation option","templates/index.html, static/main.js","UI","Completed","Allows player to choose which color appears at bottom; persisted to localStorage."
"Player/Opponent name inputs","templates/index.html, static/main.js","UI","Completed","Inputs persisted; used in PGN headers and resign/save flows."
"Players display (White/Black mapping)","templates/index.html, static/main.js","UI","Completed","Shows which name maps to White/Black based on player-color."
"Engine-first move when player=Black","static/main.js, app/api.py","Behavior","Completed","When Play Engine mode starts and human selects Black, engine plays White immediately."
"Result indicator (win/draw)","static/main.js, templates/index.html","UI","Completed","Displays checkmate, stalemate, threefold, insufficient material, draw."
"Scrollable move list (SAN)","static/main.js, templates/index.html","UI","Completed","Shows last 5 turns in SAN; entries clickable to jump to history."
"Persist engine settings (time/skill)","static/main.js","UI","Completed","Engine sliders persisted to localStorage."
"Resign button + server-side PGN save","templates/index.html, static/main.js, app/api.py","UI/Backend","Completed","Resigning saves PGN with proper White/Black headers and resets server state."
"Save PGN endpoint and manual save","static/main.js, app/api.py","Backend/UI","Completed","Manual Save PGN writes timestamped PGN files to games/ with user/opponent metadata."
"Auto-save PGN on terminal positions","static/main.js, app/api.py","UI/Backend","Completed (client trigger)","Client detects terminal state and POSTs to /api/save_pgn once per finished game to auto-archive PGN."
